fuelTypeCode,stationName,streetAddress,intersectionDirections,city,state,zip,latitude,longitude,stationPhone,statusCode,groupsWithAccessCode,accessDaysTime,cardsAccepted,bdBlends,ngFillTypeCode,ngPSI,evLevel1EVSENum,evLevel2EVSENum,evDCFastCount,evNetwork,evNetworkWeb,geocodeStatus,dateLastConfirmed,ID,updatedAt,ownerTypeCode,openDate,ngVehicleClass,lpgPrimary,e85BlenderPump,evConnectorTypes,accessCode,country,groupsWithAccessCodeFrench,accessDetailCode,facilityType,cngDispenserNum,cngTotalCompressionCapacity,cngStorageCapacity,e85OtherEthanolBlends,evPricing,lpgNozzleTypes,cngFillTypeCode,cngPSI,cngVehicleClass,evOnSiteRenewableSource,restrictedAccess,cngOnSiteRenewableSource,lngVehicleClass,npsUnitName,cngStationSellsRenewableNatrualGas,lngStationSellsRenewableNatrualGas,maximumVehicleClass,evWorkplaceCharging,geoLocation
ELEC,JLL DENVER CU 1800 GRANT,1800 Grant St,,Denver,CO,80203,39.74542,-104.983116,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,168517,2024-02-01 01:11:46 UTC,,11/17/2020,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-104.983116 39.74542)
ELEC,City of Loveland - Public Library,300 Adams St,SE Corner of Parking Lot,Loveland,CO,80537,40.394126,-105.0691219,970-962-3000,E,Public - Credit card at all times,24 hours daily,A D M V,,,,,2,,Non-Networked,,GPS,12/13/2023,52644,2024-01-31 22:07:01 UTC,LG,06/01/2021,,,,J1772,public,US,Public - Carte de crédit en tout temps,CREDIT_CARD_ALWAYS,LIBRARY,,,,,$0.20 per kWh,,,,,,false,,,,,,LD,false,POINT (-105.0691219 40.394126)
ELEC,"Denver, CO - East 45th Avenue - Tesla Supercharger",12075 E 45th Ave,,Denver,CO,80239,39.778343,-104.848559,877-798-3752,E,Public,24 hours daily,,,,,,,8,Tesla,https://www.tesla.com/supercharger,GPS,07/01/2023,302536,2023-07-14 19:41:28 UTC,P,,,,,TESLA,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-104.848559 39.778343)
ELEC,Sheraton Mountain Vista Villa - Tesla Destination,160 W Beaver Creek Blvd,,Avon,CO,81620,39.636509,-106.524947,970-748-6000  877-798-3752,E,Public,,,,,,,4,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,10/06/2022,113531,2023-01-18 15:15:20 UTC,P,12/11/2017,,,,J1772 TESLA,public,US,Public,,HOTEL,,,,,Free,,,,,,,,,,,,,false,POINT (-106.524947 39.636509)
ELEC,Weston Ridge Apartments,5967 South Gallup Street,,Littleton,CO,80120,39.6085051,-105.0029175,800-663-5633,E,Public,24 hours daily,,,,,,7,,Blink Network,http://www.blinkcharging.com/,GPS,02/01/2024,205040,2024-02-01 00:12:36 UTC,,02/23/2021,,,,J1772,public,US,Public,,,,,,,$2.50/Hr Parking Fee,,,,,,,,,,,,,false,POINT (-105.0029175 39.6085051)
ELEC,BVSD RYAN ELEM1,1405 Centaur Village Drive,,Lafayette,CO,80026,39.981062,-105.109525,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,182720,2024-02-01 00:37:55 UTC,,01/27/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.109525 39.981062)
ELEC,Gunbarrel Center,5340 Gunbarrel Center Court,Two stations are located on the west side of BLDG 14 and one station is located west of BLDG 4,Boulder,CO,80301,40.0716883,-105.1988929,800-663-5633,E,Public,24 hours daily,,,,,,3,,Blink Network,http://www.blinkcharging.com/,GPS,02/01/2024,195144,2024-02-01 00:13:32 UTC,,09/05/2021,,,,J1772,public,US,Public,,,,,,,$1.00-$5.00/Hr Variable Parking Fee,,,,,,,,,,,,,false,POINT (-105.1988929 40.0716883)
ELEC,3223 ARAPAHOE ARAPAHOE ST1,3223 Arapahoe Ave,,Boulder,CO,80303,40.014953,-105.251062,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,172473,2024-02-01 00:28:00 UTC,,01/27/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.251062 40.014953)
ELEC,GOLDEN STATIONS JACKSON ST GAR1,1250 Jackson St,,Golden,CO,80401,39.755169,-105.220129,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,161476,2024-02-01 00:18:44 UTC,,06/12/2020,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.220129 39.755169)
ELEC,530301 : Riverview at 1700 Platte,1700 Platte Street,Additional garage fees will apply,Denver,CO,80202,39.758634,-105.0059349,800-663-5633,E,Public,Mon 5:00am - 10:00pm; Tue 5:00am - 10:00pm; Wed 5:00am - 10:00pm; Thu 5:00am - 10:00pm; Fri 5:00am - 10:00pm; Sat 5:00am - 10:00pm; Sun 5:00am - 10:00pm,,,,,,4,,Blink Network,http://www.blinkcharging.com/,GPS,02/01/2024,147958,2024-02-01 00:02:16 UTC,,10/08/2018,,,,J1772,public,US,Public,,,,,,,$10.00-$20.00/Hr Variable Parking Fee,,,,,,,,,,,,,false,POINT (-105.0059349 39.758634)
ELEC,EMICH VW STATION 1,350 S Santa Fe Dr,,Denver,CO,80223,39.7103,-104.996227,888-758-4389,E,Public,24 hours daily,,,,,,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,189345,2024-02-01 01:17:47 UTC,,05/07/2021,,,,CHADEMO J1772COMBO,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-104.996227 39.7103)
ELEC,BROOKFIELD WEST 1801 CAL 1,1801 California St,,Denver,CO,80202,39.748197,-104.989774,888-758-4389,E,Public,24 hours daily,,,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,235973,2024-02-01 01:37:42 UTC,,11/11/2022,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-104.989774 39.748197)
ELEC,VAIL PARKING LIONSHEAD P1,395 S Frontage Rd W,,Vail,CO,81657,39.644395,-106.385305,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,200446,2024-02-01 00:21:25 UTC,,11/03/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-106.385305 39.644395)
ELEC,SVVSD MAIN ST SCH 2,820 Main St,,Longmont,CO,80501,40.173573,-105.1016,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,181329,2024-02-01 01:07:52 UTC,,01/27/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.1016 40.173573)
ELEC,BRECKENRIDGE GARAGE 06,80 North Park Ave,,Breckenridge,CO,80424,39.483598,-106.047872,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,200660,2024-02-01 01:24:08 UTC,,11/06/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-106.047872 39.483598)
ELEC,DOWNTOWN HOTELS STATION 2,236 Main St,,Grand Junction,CO,81501,39.067792,-108.568582,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,122724,2024-02-01 00:48:21 UTC,,05/13/2019,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-108.568582 39.067792)
ELEC,DFC GSA ST11,Federal Center building 810,,Lakewood,CO,80226,39.712415,-105.125735,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,173211,2024-02-01 00:40:52 UTC,,01/27/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.125735 39.712415)
ELEC,VRC CLUB EAST,4695 Racquet Club Dr,,Vail,CO,81657,39.630747,-106.290815,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,193002,2024-02-01 01:20:06 UTC,,07/21/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-106.290815 39.630747)
ELEC,LEGACY@FITZ STATION ST6,13253 E 13th Pl,,Aurora,CO,80011,39.737583,-104.8338,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,254209,2024-02-01 01:41:21 UTC,,02/17/2023,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-104.8338 39.737583)
ELEC,Orchard Town Center,14697 Delaware St,,Westminster,CO,80023,39.963421,-104.989641,877-455-3833,E,Public,24 hours daily,,,,,,8,,eVgo Network,https://www.evgo.com/,GPS,01/31/2024,228750,2024-01-31 23:58:17 UTC,,04/10/2020,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-104.989641 39.963421)
CNG,X3Energy,103 Hill St,Station is located at US-34,Kersey,CO,80644,40.392048,-104.564368,844-304-9800,E,Public - Credit card at all times,24 hours daily,A D FuelMan M Proprietor V Wright_Exp,,Q,3600,,,,,,200-8,01/09/2024,36295,2024-01-31 22:07:01 UTC,P,12/20/2012,HD,,,,public,US,Public - Carte de crédit en tout temps,CREDIT_CARD_ALWAYS,TRUCK_STOP,1,2,,,,,Q,3600,HD,,false,NONE,,,true,,HD,,POINT (-104.564368 40.392048)
ELEC,Legacy Vacation Club - Steamboat Suites - Tesla Destination,1485 Pine Grove Rd,,Steamboat Springs,CO,80477,40.464727,-106.823199,970-879-1211  877-798-3752,E,Public,,,,,,,6,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,10/06/2022,113596,2023-01-18 15:15:20 UTC,P,12/05/2017,,,,J1772 TESLA,public,US,Public,,HOTEL,,,,,Free,,,,,,,,,,,,,false,POINT (-106.823199 40.464727)
ELEC,NORTHERN WATER STATION 2,220 Water Avenue,,Berthoud,CO,80513,40.321609,-105.076844,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,235661,2024-02-01 01:37:26 UTC,,11/04/2022,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.076844 40.321609)
ELEC,ECG SERVICE CTR 1,3299 Cooley Mesa Rd,,Gypsum,CO,81637,39.638977,-106.943272,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,180842,2024-02-01 01:06:39 UTC,,01/27/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-106.943272 39.638977)
ELEC,EV AVALON LAS COLONIAS W,925 Struthers Ave,,Grand Junction,CO,81501,39.055449,-108.555206,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,163449,2024-02-01 01:05:29 UTC,,06/18/2020,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-108.555206 39.055449)
ELEC,Element by Westin Denver Downtown,1314 Elati St,,Denver,CO,80204,39.737179,-104.993913,720-614-5555,E,Public,24 hours daily; customer use only,,,,,,2,,Non-Networked,,200-8,12/13/2023,147086,2024-01-31 22:07:01 UTC,P,09/14/2019,,,,J1772,public,US,Public,,HOTEL,,,,,Free for guests,,,,,,true,,,,,,LD,false,POINT (-104.993913 39.737179)
ELEC,BRECKENRIDGE TOWN HALL 1,150 Ski Hill Rd,,Breckenridge,CO,80424,39.48249,-106.04821,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,165363,2024-02-01 01:08:07 UTC,,08/21/2020,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-106.04821 39.48249)
ELEC,Main Location,10691 Cadence Point,,Colorado Springs,CO,80921,38.9858516,-104.8076258,800-663-5633,E,Public,24 hours daily,,,,,,8,,Blink Network,http://www.blinkcharging.com/,GPS,02/01/2024,194652,2024-02-01 00:07:02 UTC,,03/27/2019,,,,J1772,public,US,Public,,,,,,,$0.00-$2.00/Hr Variable Parking Fee,,,,,,,,,,,,,false,POINT (-104.8076258 38.9858516)
ELEC,IMC CHARGE 1 THORNTON-IMC,12450 Washington St,,Thornton,CO,80241,39.921436,-104.976393,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,144221,2024-02-01 00:51:39 UTC,,08/30/2019,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-104.976393 39.921436)
ELEC,LOWER GARAGE 1 STATION 1,1250 Humboldt St,,Denver,CO,80218,39.736126,-104.96926,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,233284,2024-02-01 01:00:00 UTC,,10/12/2022,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-104.96926 39.736126)
ELEC,MUNICIPAL SC 1104 SPRUCE1,1100 Spruce St,,Boulder,CO,80302,40.018548,-105.281391,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,92353,2024-02-01 00:35:59 UTC,,03/07/2018,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.281391 40.018548)
ELEC,PEARL EAST PROP 4845 PEARL 1,4990 Pearl Pkwy,,Boulder,CO,80301,40.020529,-105.2358,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,100523,2024-02-01 00:42:03 UTC,,08/25/2018,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.2358 40.020529)
ELEC,Industry Denver - Tesla Destination,3001 Brighton Blvd,,Denver,CO,80216,39.765115,-104.9863843,877-798-3752,E,Public,,,,,,,1,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,10/06/2022,168875,2023-01-18 15:15:20 UTC,P,10/27/2017,,,,TESLA,public,US,Public,,,,,,,Free,,,,,,,,,,,,,false,POINT (-104.9863843 39.765115)
ELEC,RIDGWAYSCHOOLS RIDGWAY HS #2,1200 Green St,,Ridgway,CO,81432,38.163369,-107.757522,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,190294,2024-02-01 01:18:23 UTC,,05/28/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-107.757522 38.163369)
ELEC,HYUNDAI EV NORTHWEST 2,18455 Ponderosa Dr,,Parker,CO,80134,39.541087,-104.775692,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,302797,2024-02-01 01:44:57 UTC,,07/19/2023,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-104.775692 39.541087)
ELEC,TOWN OF FRASER THE FOUNDRY,22 Second St,,Fraser,CO,80442,39.927843,-105.789359,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,100026,2024-02-01 00:41:47 UTC,,08/01/2018,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.789359 39.927843)
ELEC,ONE BELLEVIEW 2ND FLOOR 1,7001 E Belleview Ave,,Denver,CO,80237,39.62438,-104.904359,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,172725,2024-02-01 00:29:32 UTC,,01/27/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-104.904359 39.62438)
E85,Kum & Go #994,4330 Clydesdale Pkwy,,Loveland,CO,80538,40.436545,-104.9874,970-461-4645,E,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,200-9,03/08/2023,149688,2024-01-31 22:07:01 UTC,P,12/13/2018,,,true,,public,US,Public,,CONVENIENCE_STORE,,,,"[""E15""]",,,,,,,false,,,,,,,,POINT (-104.9874 40.436545)
ELEC,ATWELL SUITES ATWELL EV4,18350 E 65th Ave,,Denver,CO,80249,39.814133,-104.774052,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,235949,2024-02-01 01:32:33 UTC,,11/11/2022,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-104.774052 39.814133)
ELEC,CONSCIENCE BAY WM B,3825 Walnut St,,Boulder,CO,80301,40.019729,-105.246828,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,195967,2024-02-01 01:21:26 UTC,,09/16/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.246828 40.019729)
ELEC,LPEA PARKING STATION 01,1-29 Stewart St,,Durango,CO,81303,37.244525,-107.874042,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,182584,2024-02-01 00:32:09 UTC,,01/27/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-107.874042 37.244525)
ELEC,Monaco Square,942 S Monaco Pkwy,,Denver,CO,80224,39.698655,-104.912086,877-455-3833,E,Public,24 hours daily,,,,,,,4,eVgo Network,https://www.evgo.com/,GPS,01/31/2024,228672,2024-01-31 23:57:55 UTC,,04/24/2020,,,,CHADEMO J1772COMBO,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-104.912086 39.698655)
ELEC,HYATT GARAGE 3RD FL SOUTH,13200 E. 14th Pl.,,Aurora,CO,80011,39.737702,-104.835416,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,179789,2024-02-01 00:25:47 UTC,,01/27/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-104.835416 39.737702)
ELEC,City of Denver - Denver Justice Center Garage,490 W 14th Ave,"Level 2, at the top of the entrance ramp, SW corner",Denver,CO,80204,39.738477,-104.994018,720-865-3164,E,Public,24 hours daily,,,,,,1,,Non-Networked,,200-8,01/10/2022,53945,2022-02-10 19:42:29 UTC,LG,07/01/2020,,,,J1772,public,US,Public,,PAY_GARAGE,,,,,Free,,,,,,false,,,,,,LD,false,POINT (-104.994018 39.738477)
ELEC,BOULDER EAST REC,5660 Sioux Dr,,Boulder,CO,80303,39.992686,-105.220967,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,117012,2024-02-01 00:32:23 UTC,,01/15/2019,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.220967 39.992686)
ELEC,GOLDEN STATIONS VISITORS CENTER,1010 Washington Ave,,Golden,CO,80401,39.75693,-105.22333,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,156277,2024-02-01 01:03:54 UTC,,05/14/2020,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.22333 39.75693)
ELEC,UNIV. OF COLO SEEC EAST 2,4001 Discovery Drive,,Boulder,CO,80303,40.010742,-105.241967,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,224585,2024-02-01 00:40:04 UTC,,07/29/2022,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.241967 40.010742)
ELEC,AURARIA 5TH ST GARAGE2,1351 5th Street,,Denver,CO,80204,39.743031,-105.010207,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,173384,2024-02-01 00:41:28 UTC,,01/27/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.010207 39.743031)
ELEC,SUMMIT COUNTY JC2,305 Airport Rd,,Breckenridge,CO,80424,39.491299,-106.047904,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,237754,2024-02-01 01:38:22 UTC,,12/09/2022,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-106.047904 39.491299)
ELEC,Durango Motor Co,1200 Carbon Junction,,Durango,CO,81301,37.23038389768872,-107.8602045173807,970-385-4822,E,Public,24 hours daily,,,,,,3,,Non-Networked,,GPS,08/10/2022,223802,2023-02-14 15:54:11 UTC,P,07/01/2022,,,,J1772,public,US,Public,,CAR_DEALER,,,,,Free,,,,,,false,,,,,,LD,false,POINT (-107.8602045173807 37.23038389768872)
ELEC,TOWER 1660 ALBION ST1,1660 S Albion St,,Denver,CO,80222,39.686302,-104.939103,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,99987,2024-02-01 00:28:40 UTC,,07/27/2018,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-104.939103 39.686302)
ELEC,BEAU JOS STATION 1,121 15th Ave,,Idaho Springs,CO,80452,39.741348,-105.51708,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,161505,2024-02-01 00:14:56 UTC,,06/12/2020,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.51708 39.741348)
ELEC,215 LINK EV STATION 1,215 S Link Ln,,Fort Collins,CO,80524,40.585359,-105.050375,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,187638,2024-02-01 01:16:57 UTC,,04/15/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.050375 40.585359)
ELEC,SVVSD HYGIENE ES,11968 N 75th St,,Longmont,CO,80503,40.192177,-105.17765,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,307442,2024-02-01 01:48:07 UTC,,08/18/2023,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.17765 40.192177)
ELEC,100 Society Dr,100 Society Dr,,Telluride,CO,81435,37.947949,-107.872664,866-816-7584,E,Public,,,,,,,,2,EV Connect,http://evconnect.com/,GPS,02/01/2024,222832,2024-02-01 02:14:54 UTC,,07/06/2022,,,,CHADEMO J1772COMBO,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-107.872664 37.947949)
